identifier,Naam,Plaats,Jaar,Plaats op ranglijst,Prijs per stuk in €,Aanbieding prijs,Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Klefheid,Luchtigheid,Nevenvestiging,Opmerking,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid,Aanbieding bulk aantal,Aanbieding bulk prijs
"Brood- en Banketbakkerij Sterk, Nieuwegein",Brood- en Banketbakkerij Sterk,Nieuwegein,2016,11.0,0.95,,-,Drilleveld 1,,Goed, Na jaren in de middenmoot nu een toppositie voor Sterk. De bakker schiet in de roos met een knapperige korst en mooi luchtige binnenkant. Beslist het omrijden waard.,8.5,93.1,,,,False,,,,17.3,,,,
"Lex Brakenhoff Boulangerie en Patisserie, Assendelft",Lex Brakenhoff Boulangerie en Patisserie,Assendelft,2016,12.0,0.9,0.82,"11 voor  9,00",Dorpsstraat 1054,,Goed," Ook Lex Brakenhoff heeft het licht gezien. De oliebol voelt wel wat vettig aan, maar dat is geen bezwaar. De krokante korst maakt veel goed. Ook voortreffelijk op smaak.",8.5,84.9,,,,False,,,,12.6,,,11,9.00
"Gebakkraam Nico Sterrenberg, Schiedam",Gebakkraam Nico Sterrenberg,Schiedam,2016,13.0,0.85,,0.85,Nieuwe Haven,,Goed, In tegenstelling tot voorgaande jaren blijft Nico Sterrenberg dit keer net buiten de top 10. Geen probleem; hier wordt tegen een schappelijke prijs een bovengemiddelde bol verkocht.,8.0,92.5,,,,False,,,,14.2,,,,
"Bread and Coffee, Roosendaal",Bread and Coffee,Roosendaal,2016,14.0,1.0,0.85,"10 voor 8,50",Roselaarplein 11,,Goed, Een krokante korst is het halve werk en die is hier prima in orde. Sommigen vinden de oliebol aan de iets te droge kant. Ook de kwaliteit van de vulling wordt gewaardeerd. Houden zo!,8.0,103.1,,,,False,,,,14.2,,,10,8.50
"Gebakkraam Richard Voets, Tilburg",Gebakkraam Richard Voets,Tilburg,2016,15.0,1.0,0.83,"12 voor  10,00",Heijhoefpromenade 1,,Goed," Zenuwpees Richard Voets mailde in paniek dat hij het volledig had verprutst. Het panel denkt daar anders over. Krokant, erg luchtig, smakelijk. Voets houdt het topniveau vast.",8.0,92.4,,,,False,,,,14.5,,,12,10.00
"Bakker Sturkenboom, Kortenhoef",Bakker Sturkenboom,Kortenhoef,2016,16.0,0.95,0.9,"10 voor  9,00",Meenthof 10,,Goed," Ook hier treffen we een oude bekende. Wat donker gebakken, wel lekker krokant. Ook de vulling is prima in orde. Een bolletje waarvoor je  best even in de rij wilt staan.",8.0,102.1,,,,False,,,,13.2,,,10,9.00
"Bakkerij Voordijk, Ridderkerk",Bakkerij Voordijk,Ridderkerk,2016,17.0,0.75,,,Jan Steenstraat 22,,Goed, Voordijk scoort punten met zijn korst. Goede knapperige bite. Ook de vulling valt bij vrijwel iedereen in de smaak. Een oliebol die je met een gerust hart op de schaal legt.,8.0,108.2,,,,False,,,,14.4,,,,
"Dre's Bakery, Goirle",Dre's Bakery,Goirle,2016,18.0,1.0,0.8,"10 voor  8,00",Kloosterplein,,Goed," Hier is hard gewerkt om de oliebol naar een hoger niveau te tillen. Het eindcijfer is de beloning voor een jaar hard werken. Knapperig en smaakvol, goed gevuld. Probeer maar.",8.0,96.7,,,,False,,,,11.7,,,10,8.00
"Gebakkraam Denies, Delft",Gebakkraam Denies,Delft,2016,19.0,1.0,0.8,"10 voor  8,00","Schieweg 104, parkeerterrein Makro",,Goed," Oud geslacht van oliebollenbakkers dat soms goed, en soms minder goed presteert. Nu zijn de verhoudingen goed. Het zuur van de appel combineert goed met het zoet van de rozijnen.",8.0,94.7,,,,False,,,,12.3,,,10,8.00
"Brood- en Banketbakkerij Jan Pieter Duin, Tiel",Brood- en Banketbakkerij Jan Pieter Duin,Tiel,2016,20.0,0.9,,-,Nieuwe Tielseweg 187,,Goed, Met een een derde plaats liet Pieter Duin vorig jaar zien dat hij een prima oliebol kan bakken. Dat is hij nog niet verleerd. Veel lof voor de korst. Misschien iets meer vulling?,8.0,90.0,,,,False,,,,12.6,,,,
"Gebakkraam Familie Smit, Rotterdam",Gebakkraam Familie Smit,Rotterdam,2016,21.0,1.0,0.83,"12 voor  10,00",Beijerlandselaan/Slaghekstraat,,Goed, Een echte oliebol in de goede betekenis van het woord. Hapt prettig weg en heeft mede door de rijke vulling een hoog smaakgehalte. Hier kun je gerust je bollen halen.,8.0,102.1,,,,False,,,,11.5,,,12,10.00
"Hollandse Gebakkraam Dennis Smit, Ouderkerk aan de Amstel",Gebakkraam Dennis Smit,Ouderkerk aan de Amstel,2016,22.0,1.0,0.83,"12 voor  10,00",Sluisplein,,Goed," Krokante korst omhult een enigszins droog bolletje, dat voor de rest goed op smaak is. Dennis Smit laat opnieuw zien dat hij het vak van oliebollenbakker onder de knie heeft.",8.0,102.1,,,,False,,,,9.39,,,12,10.00
"Samantha's Gebakkraam, Vlissingen",Samantha's Gebakkraam,Vlissingen,2016,23.0,0.9,0.73,"11 voor  8,00",Walstraat thv 119,,Goed, Naast een enkele kritische opmerking (over de vorm) eigenlijk alleen maar lovende opmerkingen over deze oliebol. Met wat geluk wordt dit adres de komende jaren een hele grote.,8.0,100.8,,,,False,,,,11.4,,,11,8.00
"Gebakkraam Westenberg, Rhoon",Gebakkraam Westenberg,Rhoon,2016,24.0,1.0,0.83,"12 voor  10,00","Stationsstraat 5, parkeerterrein Intratuin",,Goed, Tot op het bot gemotiveerde Mathieu Westenberg is een van de bakkers die investeert in nieuwe apparatuur om tot een optimaal product te komen. De inspanning wordt beloond.,8.0,100.3,,,,False,,,,8.9,,,12,10.00
"Bakkerij Van de Mortel, Someren",Bakkerij Van de Mortel,Someren,2016,25.0,0.9,0.82,"11 voor  9,00",Floreffestraat 7,,Goed," Een aantal panelleden vindt deze oliebol aan de droge kant, maar anderen oordelen: ‘Precies goed.’ Keurige bol van een bakker die op oliebollengebied zijn vak verstaat.",8.0,103.3,,,,False,,,,10.3,,,11,9.00
"Bakkerij Van Dongen, Made",Bakkerij Van Dongen,Made,2016,26.0,0.95,0.91,"11 voor  10,00",Marktstraat 21,,Goed," Kees van Dongen, bekend om zijn wereldberoemde Brabantse worstenbroodje, wisselt qua oliebollenresultaat nog weleens. Dit jaar haalt hij een keurige bol uit de frituur.",8.0,106.3,,,,False,,,,9.7,,,11,10.00
"Meesterbakker Uljee, Rotterdam",Meesterbakker Uljee,Rotterdam,2016,27.0,1.0,0.9,"10 voor  9,00",Keizerswaard 69,,Goed," Uljee bakt een prima oliebol, die waarschijnlijk nog beter uit de bus zou komen als de ‘bijsmaken’ iets meer  zouden worden gedempt. Voor de rest geen kwaad woord.",8.0,96.4,,,,False,,,,14.3,,,10,9.00
"Echte Bakker De Korenaar, Surhuisterveen",Echte Bakker De Korenaar,Surhuisterveen,2016,28.0,1.0,0.9,"10 voor  9,00",Gedempte Vaart 17,,(Ruim) Voldoende," Beslist niet slecht, maar wel een oliebol waarbij verbeterpuntjes zijn aan te geven. Hij zou bijvoorbeeld iets luchtiger kunnen. De krokante korst valt erg in de smaak.",7.5,96.2,,,,False,,,,11.1,,,10,9.00
"Bakkerij Olink, Maarssen",Bakkerij Olink,Maarssen,2016,29.0,1.0,,-,Bolensteinsestraat 1-3,,(Ruim) Voldoende," Olink is een fantastische bakker. Dat bewijst het verleden. Ook dit keer is de smaak goed, maar veel panelleden hebben moeite met het hoge vetgehalte.",7.5,118.4,,,,False,,,,16.7,,,,
"Meesterbakker Roodenrijs, Den Haag",Meesterbakker Roodenrijs,Den Haag,2016,30.0,1.0,0.95,"10 voor  9,50",Laan van Wateringseveld 678,,(Ruim) Voldoende," Keurig bolletje zonder opvallend negatieve of positieve eigenschappen. De een zou hem graag iets luchtiger zien, de ander wil iets meer vulling. Alleen wat kleinigheden dus.",7.5,85.7,,,,False,,,,14.6,,,10,9.50
"Bakkerij Slagter, Coevorden",Bakkerij Slagter,Coevorden,2016,31.0,0.9,0.8,"10 voor  8,00",Looweg 28,,(Ruim) Voldoende, Oliebollen bakken is ‘het ding’ van Henk Slagter. Hij legt er zijn ziel en zaligheid in. Mooie knapperige korst. Meer dan gemiddelde hoeveelheid krenten. En daar moet je van houden.,7.5,84.0,,,,False,,,,9.2,,,10,8.00
"De Stadsbakker, Zwolle",De Stadsbakker,Zwolle,2016,32.0,0.9,0.85,"10 voor  8,50",Blijmarkt 4,,(Ruim) Voldoende," Jammer dat de korst een beetje stug is, want op zich is dit een smakelijke oliebol. Met een meer dan gemiddelde vulling geeft bakker Arend Kisteman de bol een hoog smaakgehalte.",7.5,93.1,,,,False,,,,11.9,,,10,8.50
"Bakkerij Holtkamp, Schipluiden",Bakkerij Holtkamp,Schipluiden,2016,33.0,0.95,0.9,"10 voor  9,00",Keenenburgweg 12,,(Ruim) Voldoende," Van sommige bakkers verwacht je gevoelsmatig een hogere score. Holtkamp verliest vooral punten op de korst, die als te slap wordt ervaren. De smaak is voor de rest in orde.",7.5,93.2,,,,False,,,,11.7,,,10,9.00
"Brood- en Banketbakkerij Lorkeers, Nijverdal",Brood- en Banketbakkerij Lorkeers,Nijverdal,2016,34.0,0.9,0.8,"10 voor  8,00",Rijssensestraat 178,,(Ruim) Voldoende," Een beetje een doorsnee oliebol. Mooie knapperige korst, goed op smaak en goed luchtig. Sommigen hebben moeite met de duidelijk zichtbare stukjes appel. Wel mooi goudbruin.",7.5,97.6,,,,False,,,,9.5,,,10,8.00
"De Oliebollenbakkerij Remon Muller, Nieuwerkerk aan den IJssel",Oliebollenbakkerij Muller,Nieuwerkerk aan den IJssel,2016,35.0,1.0,0.75,"12 voor  9,00",Raadhuisplein 1,,(Ruim) Voldoende," Niet slecht, maar een beetje een dagkoers. Raymond Muller kan een veel betere oliebol bakken. Vrij compacte structuur, vulling aan de zuinige kant. Heeft niet echt veel smaak.",7.5,101.1,,,,False,,,,8.0,,,12,9.00
"Drentse Gebakkraam Chris Spelbrink, Assen",Drentse Gebakkraam Chris Spelbrink,Assen,2016,36.0,1.0,0.82,"11 voor  9,00",Koopmansplein,,(Ruim) Voldoende, Een echte oliebol in de goede betekenis van het woord. Zal zeker aan de kraam erg smakelijk weghappen en daarmee is Chris Spelbrink hét verkooppunt voor Assen en omgeving.,7.5,105.7,,,,False,,,,8.2,,,11,9.00
"Zoete Lekkernijen, Oud-Beijerland",Zoete Lekkernijen,Oud-Beijerland,2016,37.0,0.9,,,Beneden Oostdijk 64,,(Ruim) Voldoende, Dorus de Boeck heeft het afgelopen jaar veel geïnvesteerd in cursussen en apparatuur. Dat levert een smakelijke oliebol op. Prima adres voor wie niet zelf wil bakken.,7.5,89.6,,,,False,,,,9.2,,,,
"Bakkerij Neplenbroek, Utrecht",Bakkerij Neplenbroek,Utrecht,2016,38.0,1.0,0.83,"12 voor  10,00",Ella Fitzgeraldplein 14,,(Ruim) Voldoende, Neplenbroek is gaan experimenteren met de receptuur. Dat leidt tot verdeelde reacties: van ‘de bol is te geel’ en ‘de appel is te zuur’ tot ‘prima’ en ‘frisse smaak’. Voer voor discussie!,7.5,99.7,,,,False,,,,13.1,,,12,10.00
"Echte Bakker John Treur, Oudewater",Echte Bakker John Treur,Oudewater,2016,39.0,0.9,,-,Leeuweringerstraat 40,,(Ruim) Voldoende, Uitstekende oliebol voor wie van zoet houdt. De grote hoeveelheid vruchten is voor anderen een brug te ver. De structuur kan ook nog wat luchtiger. Wel een redelijke korst.,7.0,91.6,,,,False,,,,9.1,,,,
"Bakkerij Ruud & Chantal Gremmee, Rossum",Bakkerij Ruud & Chantal Gremmee,Rossum,2016,40.0,0.9,,-,Koningstraat 5,,(Ruim) Voldoende," De voorgaande drie jaar scoorde Ruud Gremmee twee keer een 9,5. Dus zal het nu even slikken zijn. Vooral de korstkwaliteit krijgt veel kritiek. De smaak is in orde.",7.0,94.7,,,,False,,,,11.4,,,,
"Jongerius Bakker, Zoetermeer",Jongerius Bakker,Zoetermeer,2016,41.0,0.95,,-,Dorpsstraat 86/S,,(Ruim) Voldoende," Het werken met smaakaccenten is een kunst op zich. Te veel en het overheerst, te weinig en je hebt er niets aan. Veel panelleden hebben het over een te uitgesproken vruchtensmaak.",7.0,96.6,,,,False,,,,13.8,,,,
"De Bakkers Lamers, Heesch",De Bakkers Lamers,Heesch,2016,42.0,0.95,,-,Het Dorp 109,,(Ruim) Voldoende," De oliebol ziet er geweldig uit. Je zou er zo een hap van nemen. Doe je dat, dan valt eerst de korst een beetje tegen. Die mag knapperiger. En ook de smaak is een beetje gemiddeld.",7.0,102.1,,,,False,,,,10.0,,,,
"Echte Bakker De Koning, Puttershoek",Echte Bakker De Koning,Puttershoek,2016,43.0,1.0,0.83,"6 voor  5,00",Oranjeplein 14,,(Ruim) Voldoende," Een keurige oliebol die best lekker weg eet. Sommigen vinden de appel iets te overheersend, anderen hebben daar geen moeite mee. Een tikkeltje aan de droge kant. Geen probleem.",7.0,103.3,,,,False,,,,9.9,,,6,5.00
"Meesterbakker Van Iersel, Tilburg",Meesterbakker Van Iersel,Tilburg,2016,44.0,1.0,0.95,"10 voor  9,50",AaBe-straat 3,,(Ruim) Voldoende," Een beetje een allemansvriend, deze oliebol. En op zich is daar niks mis mee. Niet iedereen kan de smaak van de olie waarderen. Maar er is ook de opmerking ‘lekker fris’.",7.0,94.0,,,,False,,,,13.3,,,10,9.50
"Echte Bakker Nijkamp, Holten",Echte Bakker Nijkamp,Holten,2016,45.0,0.9,0.8,"10 voor  8,00",Dorpsstraat 16,,(Ruim) Voldoende," Martin Nijkamp levert een visuele topprestatie: de oliebol ziet er erg mooi uit. Maar de smaak wordt als te overweldigend ervaren, onder meer door de kwistige vulling. Het blijft lastig.",7.0,96.2,,,,False,,,,11.0,,,10,8.00
"Oud Hollandsche Gebakkraam Bischoff-Hanraths, Apeldoorn",Oud Hollandsche Gebakkraam Bischoff-Hanraths,Apeldoorn,2016,46.0,1.0,0.83,"12 voor  10,00","parkeerterrein Intratuin, Voorwaarts 420",,(Ruim) Voldoende," Jammer dat verbrande rozijnen voor een naar bittertje zorgen. Voor de rest zorgt Sidney Bischoff, tevens zanger van het Nederlandse levenslied, voor een prima oliebol.",7.0,95.8,,,,False,,,,7.0,,,12,10.00
"Helmondsche Gebakkroam Van Hout, Helmond",Helmondsche Gebakkroam Van Hout,Helmond,2016,47.0,1.0,0.9,"10 voor  9,00",Markt,,(Ruim) Voldoende," Op het oog een wat mindere oliebol, maar de smaak valt alleszins mee. Gedachteloos weghappertje waar goed mee te leven valt. Vulling kan wel wat beter worden verdeeld.",7.0,102.3,,,,False,,,,7.1,,,10,9.00
"Brood by Alex, Utrecht",Brood by Alex,Utrecht,2016,48.0,0.85,0.8,"10 voor  7,95",Hammerskjoldhof 44 A,,(Ruim) Voldoende, Een zaak waar – gelet op de uitstraling – het bakkersvak nog een Ambacht is. De gebruikte mix zorgt voor een gele kleur en smaakt een beetje naar krentenbrood.,7.0,84.9,,,,False,,,,9.7,,,10,7.95
"IJssalon Luciano, Wassenaar",IJssalon Luciano,Wassenaar,2016,49.0,1.0,0.83,"12 voor  10,00",Van Hogendorpstraat 53,,(Ruim) Voldoende, IJsmeester Luc Blok verdiepte zich dit jaar in de lastige wereld van de oliebol en behaalt het beste resultaat ooit. Maar: erg veel bijsmaken. Die zouden minder overheersend mogen.,7.0,87.7,,,,False,,,,8.1,,,12,10.00
"Temple of Food Gebakkraam Cordes, Delft",Temple of Food Gebakkraam Cordes,Delft,2016,50.0,1.0,0.83,"6 voor  5,00","Papsouwselaan 492, winkelcentrum De Hoven",,(Ruim) Voldoende, Keurige middenmoter. Met iets meer vulling zal het smaakgehalte toenemen. Ook de korst valt nog wel te verbeteren. Maar voor de rest hapt hij best aardig weg.,7.0,76.4,,,,False,,,,11.2,,,6,5.00
"Gouki de Oliebollenkoning, Hoogeveen",Gouki de Oliebollenkoning,Hoogeveen,2016,51.0,1.0,0.9,"10 voor  9,00",Hoofdstraat,,(Ruim) Voldoende, De uitbater herkent de verslaggever en wil niets met test te maken te hebben. Is wel zo sportief oliebollen mee te geven. Hij hoeft zich nergens voor te schamen: een correct bolletje.,7.0,96.6,,,,False,,,,8.3,,,10,9.00
"Echte Bakker Steenbergen, Meppel",Echte Bakker Steenbergen,Meppel,2016,52.0,0.85,0.8,"10 voor  8,00",Grote Oever 2,,(Ruim) Voldoende, Steenbergen beweegt zich al jaren binnen dezelfde bandbreedte. Dat betekent dat hij redelijk constant bakt. Had met een goede korst dit jaar hoger gescoord. Prettig van smaak.,7.0,89.4,,,,False,,,,9.6,,,10,8.00
"Oliebollenkraam, Utrecht",Oliebollenkraam,Utrecht,2016,53.0,0.9,0.83,"6 voor  5,00","Maliebaan, voor nr 51",,(Ruim) Voldoende, Een van de vele kramen waar een jongere generatie bakkers het roer overneemt. Zij zijn bereid om zich middels cursussen bij te scholen. Dat werpt vruchten af. Aangename oliebol.,7.0,98.5,,,,False,,,,12.7,,,6,5.00
"Bakkerij In de Soete Suikerbol, Twello",Bakkerij In de Soete Suikerbol,Twello,2016,54.0,0.85,0.77,"11 voor  8,50",Duistervoordseweg 10,,(Ruim) Voldoende, Fanatieke bakker draait vele malen nieuw beslag om tot zijn ultieme oliebol te komen. Dan bestaat het gevaar dat je het zicht kwijtraakt. Het panel valt over bijsmaken en geur.,7.0,85.7,,,,False,,,,10.3,,,11,8.50
"Echte Bakker Frentz, Ugchelen",Echte Bakker Frentz,Ugchelen,2016,55.0,0.9,0.8,"10 voor  8,00",Ugchelseweg 173,,(Ruim) Voldoende," De elfde plaats vorig jaar deed wonderen voor de verkoop. Nu nog steeds ruim voldoende, maar geen top. De structuur is iets te vast en niet voldoende veerkrachtig. Wel smakelijk.",7.0,81.9,,,,False,,,,11.7,,,10,8.00
"Bakkerij Van Herk, Dordrecht",Bakkerij Van Herk,Dordrecht,2016,56.0,0.9,0.8,"10 voor  8,00",Riouwstraat 2,,(Ruim) Voldoende," De kleur is aan de lichte kant. Vanbinnen is hij vrij droog, waardoor het meer op een (brood)krentenbol dan een oliebol lijkt. Wel goed van smaak. Oppassen met smaakaccenten.",7.0,89.0,,,,False,,,,15.2,,,10,8.00
"Bakkerij Vliegendehond, Wolvega",Bakkerij Vliegendehond,Wolvega,2016,57.0,0.8,0.73,"11 voor  8,00",Van Harenstraat 74,,(Ruim) Voldoende, Ivo Vliegendehond had zelf een erg goed ‘gevoel’ bij deze oliebol. Met zes top 10-plaatsen is hij een uitstekende bakker. Maar een te uitgesproken vruchtensmaak valt niet in de smaak.,7.0,98.5,,,,False,,,,9.6,,,11,8.00
"Verwijk's Gebakkraam, Voorburg",Verwijk's Gebakkraam,Voorburg,2016,58.0,0.9,0.8,"10 voor  8,00",Koningin Julianalaan 267,,(Ruim) Voldoende, Vooral op de korst is winst te behalen. Daar zijn recepten en baktechnieken voor. De structuur is wat sponsachtig. Maar wat de score ook is: AD is altijd vriendelijk te woord gestaan.,6.5,89.1,,,,False,,,,9.5,,,10,8.00
"Gebakkraam R. van den Houten & Kids, Almere",Gebakkraam R. van den Houten & Kids,Almere,2016,59.0,1.0,0.67,"12 voor  8,00",Philadelphiapad,,(Ruim) Voldoende," De oliebol is een tikkeltje aan de vettige kant, maar daar is het tenslotte een oliebol voor. Met al die grote gaten is hij erg luchtig. Ook op smaak meer dan acceptabel.",6.5,86.2,,,,False,,,,8.97,,,12,8.00
"Gebakkraam Brantenaar, Middelharnis",Gebakkraam Brantenaar,Middelharnis,2016,60.0,1.0,0.71,"7 voor  5,00","Beneden Zandpad, winkelcentrum D’n Diek",,(Ruim) Voldoende," Al vele jaren is Jack Brantenaar in november en december een vertrouwd gezicht in Middelharnis. Zijn vaste klanten weten wat ze aan hem hebben. Een keurige, standaard oliebol.",6.5,84.4,,,,False,,,,9.2,,,7,5.00
"De Wateringse Oliebollenkraam, Wateringen",De Wateringse Oliebollenkraam,Wateringen,2016,61.0,1.0,0.91,"11 voor  10,00",Plein 15,,(Ruim) Voldoende, Een bol uit hetzelfde baksel werd door het Nederlands Bakkerij Centrum met goud bekroond. Maar de oliebol blijft juist op ‘smaak’ achter. Een teleurstelling voor Onno en Anita Bootsma.,6.5,98.5,,,,False,,,,10.3,,,11,10.00
"Dordtsche Gebakkraam Reemer, Dordrecht",Dordtsche Gebakkraam Reemer,Dordrecht,2016,62.0,0.8,0.7,"10 voor  7,00","Van Eesterenplein, winkelcentrum Bieshof",,(Ruim) Voldoende," Verkooppunt waar je door jaren ervaring weet wat je er kunt verwachten. Reemer zal nooit bij de echte top scoren, maar ook niet onderaan eindigen. Keurige middelmaat.",6.5,80.8,,,,False,,,,7.7,,,10,7.00
"Bakkerij Bi'j Oons, Haaksbergen",Bakkerij Bi'j Oons,Haaksbergen,2016,63.0,0.85,0.8,"10 voor  8,00",Spoorstraat 55 B,,(Ruim) Voldoende, De mooie knapperige korst is pure winst. De vreemde zoete bijsmaak maakt niet iedereen enthousiast. Terug naar iets eenvoudiger receptuur is waarschijnlijk de oplossing.,6.5,94.4,,,,False,,,,12.0,,,10,8.00
"Bakkerij Segaar, Den Haag",Bakkerij Segaar,Den Haag,2016,64.0,0.95,0.83,"6 voor  5,00",Fahrenheitstraat 642,,(Ruim) Voldoende," Een vrij compacte oliebol, die ook als vrij droog wordt ervaren. Meer krentenbrood dan oliebol. De vulling is ook niet gelijkmatig verdeeld. Er zijn dus een paar verbeterpuntjes.",6.5,80.2,,,,False,,,,8.8,,,6,5.00
"Hollandse Gebakkraam, Den Haag",Hollandse Gebakkraam,Den Haag,2016,65.0,0.9,0.82,"11 voor  9,00",Frederik Hendriklaan,,(Ruim) Voldoende, Met hun te lichte korst zijn deze oliebolletjes geen verleiders voor de bewoners van het deftige Statenkwartier. Ze zijn iets klef en taai. Maar de smaak valt niet tegen.,6.5,79.4,,,,False,,,,8.9,,,11,9.00
"Oliebollenkraam Reekers, Zoetermeer",Oliebollenkraam Reekers,Zoetermeer,2016,66.0,0.9,0.82,"11 voor  9,00",Bossenwaard,,(Ruim) Voldoende," Deze bol oogt als een plaatje. Daar wil je meteen een hap van nemen. Doe je dat, dan moet je eerst door een taaie korst heen. Voor de rest is met de smaak niets mis.",6.5,87.3,,,,False,,,,9.3,,,11,9.00
"Oliebollerie, Schiphol",Oliebollerie,Schiphol,2016,67.0,1.0,0.83,"12 voor  10,00",Ingang aankomstpassage,,(Ruim) Voldoende," Zeker nog voldoende, maar voor verbetering vatbaar. Compacte structuur, waardoor de bol een beetje stijf aanvoelt. De vulling is aan de zuinige kant. Maar met wat poedersuiker….",6.5,86.0,,,,False,,,,9.99,,,12,10.00
"Gebakkraam 't Krulletje jr, Hellevoetsluis",Gebakkraam 't Krulletje jr,Hellevoetsluis,2016,68.0,1.0,0.91,"11 voor  10,00",winkelcentrum De Struytse Hoeck,,(Ruim) Voldoende," Een beetje een gemiddelde oliebol. Je hebt ze wel eens lekkerder gegeten, maar ook veel slechter. De trouwe aanhang van dit verkooppunt zal er vast geen moeite mee hebben.",6.5,102.1,,,,False,,,,6.6,,,11,10.00
"Gebakkraam Het Lage Land, Rotterdam",Gebakkraam Het Lage Land,Rotterdam,2016,69.0,0.9,0.82,"11 voor  9,00",Samuel Esmeijerplein,,(Ruim) Voldoende, Hier is met weinig inspanning een betere oliebol te bakken. De verbrande rozijnen aan de buitenzijde doen de smaak geen goed. Het mondgevoel is aan de onaangename kant.,6.5,87.3,,,,False,,,,5.3,,,11,9.00
"De Bakkende Bakkers Groenendijk, Amersfoort",De Bakkende Bakkers Groenendijk,Amersfoort,2016,70.0,1.0,0.95,"10 voor  9,50",Emiclaerhof 240,,(Ruim) Voldoende, Meer ingrediënten maken een oliebol niet altijd beter. Belangrijkste aandachtspuntje: de korst. Zorg dat die knapperig wordt en een hogere klassering is een feit.,6.5,89.3,,,,False,,,,7.9,,,10,9.50
"Dutch Bakery, Volendam",Dutch Bakery,Volendam,2016,71.0,0.8,0.73,"11 voor  8,00",Zeestraat,,(Ruim) Voldoende," Een verkooppunt waar het kan vriezen en dooien. Als klant moet je een beetje geluk hebben. De bol is aan de droge kant, de korst een tikkeltje taai. Verbrande vruchten aan buitenzijde.",6.5,76.4,,,,False,,,,7.9,,,11,8.00
"Mirella's Oliebollerie, Amsterdam",Mirella's Oliebollerie,Amsterdam,2016,72.0,1.0,0.82,"11 voor  9,00","Buiksloterweg, bij de veerpont",,(Ruim) Voldoende," De bol smaakt niet echt verkeerd, maar kan vooral baktechnisch een stuk beter. De korst is taai. Ook de vulling kan beter worden verdeeld. Vraagt wat attentie.",6.5,88.5,,,,False,,,,7.28,,,11,9.00
"Oliebollenhut Tholen, Tholen",Oliebollenhut Tholen,Tholen,2016,73.0,0.9,0.8,"10 voor  8,00",Welgelegen 2a,,(Ruim) Voldoende," Het blijft een raadsel wat de Oliebollenhut heeft gedaan. Bijna iedereen klaagt over een niet te definiëren, nare bijsmaak. Ook te weinig luchtig. Een van de zwaardere bollen.",6.5,101.3,,,,False,,,,13.1,,,10,8.00
"Hollandse Gebakkraam Martin Verwijk, Gouda",Hollandse Gebakkraam Martin Verwijk,Gouda,2016,74.0,1.0,0.83,"12 voor  10,00",Nieuwe Markt,,(Ruim) Voldoende," Verkooppunt waarvan je weet hoeveel inspanning men zich getroost om tot een goed product te komen. Goede korst, maar de vulling valt iets tegen. Kan meer smaak hebben.",6.5,92.6,,,,False,,,,13.2,,,12,10.00
"Hollandsche Gebakkraam, Arnhem",Hollandsche Gebakkraam,Arnhem,2016,75.0,1.0,0.8,"10 voor  8,00",Willemsplein,,(Ruim) Voldoende," Oliebol of overmaatse bitterbal? Een vreemde eend in de bijt. Hij is best redelijk van smaak, maar geeft tegelijkertijd een naar mondgevoel. Zonde van al die verbrande vruchten.",6.5,80.9,,,,False,,,,11.0,,,10,8.00
"Hollandse Gebakkraam Albers, Amsterdam",Hollandse Gebakkraam Albers,Amsterdam,2016,76.0,1.0,0.71,"14 voor  10,00",Renswoudestraat,,(Ruim) Voldoende, Ook hier geldt dat minder toevoegingen gebruiken een betere oliebol oplevert. De overdreven aanwezigheid van kaneel doet afbreuk aan de smaak. Mag iets beter gevuld.,6.0,80.7,,,,False,,,,12.0,,,14,10.00
"Oud-Hollandse Gebakkraam Aart van de Weerdt, Rijswijk",Oud-Hollandse Gebakkraam Aart van de Weerdt,Rijswijk,2016,77.0,1.0,0.77,"13 voor  10,00","Prinses Beatrixlaan, winkelcentrum In de Bogaard",,(Ruim) Voldoende," Eindigde ooit heel hoog, maar dat lijkt toch een gelukstreffer te zijn geweest. De smaak is niet echt slecht, maar kan zoveel beter. De korst is aan de taaie kant. Wel rijk gevuld.",6.0,114.2,,,,False,,,,9.5,,,13,10.00
"Gebakkraam Corrie Spelbrink, Krimpen aan den IJssel",Gebakkraam Corrie Spelbrink,Krimpen aan den IJssel,2016,78.0,0.9,0.77,"13 voor  10,00","Hoogstade, winkelcentrum Crimpenhof",,(Ruim) Voldoende," Een rijk gevulde oliebol die daardoor aan de (te) zoete kant is. Wordt ook als droog ervaren. Wel een goede, krokante korst. Ondanks een matig eindcijfer een aan te raden verkooppunt.",6.0,99.9,,,,False,,,,10.4,,,13,10.00
"Het Bakkertje, Den Haag",Het Bakkertje,Den Haag,2016,79.0,0.95,0.85,"10 voor  8,50",Oude Molstraat 38,,(Ruim) Voldoende," De bol ziet er beter uit dan hij smaakt. Meest gehoord: ‘Deze oliebol is veel te droog, het lijkt wel gewoon krentenbrood.’ Dat is dus toch de persoonlijke  touch van de bakker.",6.0,92.2,,,,False,,,,11.5,,,10,8.50
