identifier,Naam,Plaats,Jaar,Plaats op ranglijst,Prijs per stuk in €,Aanbieding prijs,Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Klefheid,Luchtigheid,Nevenvestiging,Opmerking,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid,Aanbieding bulk aantal,Aanbieding bulk prijs
"De Stadsbakker, Zwolle",De Stadsbakker,Zwolle,2015,30.0,0.9,0.85,"10 voor 8,50",Blijmarkt 4,"Blijmarkt 4, Zwolle, Nederland",Goed,"Eigenaar Arend Kisteman is een van de betere bakkers van Nederland. Alleen met de oliebol wilde het niet lukken. Nu laat hij zien dat hij het wél kan. Lekkere oliebollen, het omrijden waard.",8.0,93.0,,,,,,,,13.2,,,10,8.50
"De Oliebollenkraam, Den Bosch",De Oliebollenkraam,Den Bosch,2015,31.0,1.0,0.8,"10 voor 8,00",Parade,"51°41'14.7""N 5°18'26.6""E",Goed,"Beetje onregelmatige bollen, maar een kniesoor die daar aanstoot aan neemt. Ze smaken helemaal niet verkeerd. Als aan een paar verbeterpunten wordt gewerkt een potentiële topkandidaat.",8.0,89.0,,,,,,,,13.7,,,10,8.00
"Gouki de Oliebollenkoning by Pierre Benner, Almelo",Gouki de Oliebollenkoning by Pierre Benner,Almelo,2015,32.0,1.0,0.91,"11 voor 10,00",Koornmarkt,"Koornmarkt, Almelo, Nederland",Goed,"Loon naar werken voor Pierre Benner, het beste cijfer sinds jaren. Met de kwaliteit die hij nu levert, is het beslist de moeite waard om langs te gaan. Goed van smaak, iets meer vruchten mag.",8.0,91.0,,,,,,,,11.2,,,11,10.00
"Bakkerij Jonker, Oldebroek",Bakkerij Jonker,Oldebroek,2015,33.0,0.7,,None,Zuiderzeestraatweg 357,"Zuiderzeestraatweg 357, Oldebroek, Nederland",Goed,Jonker onderscheidt zich door een uitstekende prijs-kwaliteitverhouding. Zoekt al jaren naar het antwoord op de vraag hoe hij zijn bollen beter krijgt. Zouden iets meer uitgesproken mogen zijn.,8.0,91.0,,,,,,,,9.37,,,,
"Gebakkraam Gerrit Visscher, Zwolle",Gebakkraam Gerrit Visscher,Zwolle,2015,34.0,0.8,0.73,"11 voor 8,00","De Dobbe, winkelcentrum AA-landen","52°31'49.6""N 6°06'11.6""E",Goed,"Een oliebol die van een beetje meer lucht nog beter was geworden. Nu iets te compact, maar dat wordt meer dan goedgemaakt door de smaak. Mooi fris en een knapperige korst.",8.0,115.0,,,,,,,,8.14,,,11,8.00
"Bakker Piet, Rijswijk",Bakker Piet,Rijswijk,2015,35.0,0.85,0.8,"10 voor 8,00",Herenstraat 33,"Herenstraat 33, Rijswijk, Nederland",Goed,Bakker Piet doet zichzelf en zijn klanten tekort door te bezuinigen op zijn vulling. Meer vruchten toevoegen zou de smaak opkrikken. En dat merk je dan weer in het eindresultaat.,8.0,100.0,,,,,,,,12.4,,,10,8.00
"Gebakkraam Verwijk, Amsterdam",Gebakkraam Verwijk,Amsterdam,2015,36.0,0.9,0.8,"10 voor 8,00","Bijlmerplein, ter hoogte van nummer 94 (Lidl)","Bijlmerplein, ter hoogte van nummer 94 (Lidl), Amsterdam, Nederland",Goed,"Lekkere knapperige korst. De vulling is aan de zuinige kant, daar valt nog iets te winnen. Goed van structuur, hapt lekker weg. Niet iedereen waardeert het bestrooien met vanillesuiker.",8.0,94.0,,,,,,,,7.72,,,10,8.00
"Oud Hollandse Gebakkraam, Alblasserdam",Oud Hollandse Gebakkraam,Alblasserdam,2015,37.0,0.9,0.82,"11 voor 9,00","Kelvinring 60, parkeerterrein Hornbach","Kelvinring 60, Alblasserdam, Nederland",Goed,"Een goede korst is het halve werk, keurig gebakken. Mooie structuur, iets meer krenten en rozijnen erin had best gemogen. Verkoopster blijft ondanks drukte erg ontspannen en vriendelijk. Keurig.",8.0,82.0,,,,,,,,9.58,,,11,9.00
"Echte Bakker Slagter, Coevorden",Echte Bakker Slagter,Coevorden,2015,38.0,0.9,0.8,"10 voor 8,00",Looweg 28,"Looweg 28, Coevorden, Nederland",Goed,Henk Slagter denkt in termen van negens en zal dus niet blij zijn met een 8. Toch heeft hij ook nu weer een bolletje gebakken dat erin gaat als Gods woord in een ouderling.,8.0,88.0,,,,,,,,12.6,,,10,8.00
"Hollandse Gebakkraam Dennis Smit, Ouderkerk aan de Amstel",Gebakkraam Dennis Smit,Ouderkerk aan de Amstel,2015,39.0,1.0,0.83,"6 voor 5,00",Sluisplein,"52°17'50.3""N 4°54'50.1""E",Goed,"In 2011 verraste Dennis Smit vriend en vijand met een tweede plaats. Die heeft hij nooit meer gehaald, maar hij laat wel zien nog steeds een goede bol te kunnen bakken. Smakelijk.",8.0,101.0,,,,,,,,8.73,,,6,5.00
